student_id,province,gender,age,study_hours_per_week,attendance_percent,family_income_npr,internet_access,math_marks,science_marks,english_marks,social_marks
45,Lumbini,Female,15,12.1,96.5,34800,No,57,73,69,71
46,Lumbini,Female,16,13.1,75.7,36500,Yes,67,65,72,63
47,Bagmati,Female,17,9.5,68.1,40500,No,45,45,57,43
48,Madhesh,Male,15,13.9,70.1,10400,Yes,56,34,56,55
49,Lumbini,Male,14,9.9,85.2,24800,Yes,53,55,52,50
50,Koshi,Male,15,10.4,85.2,10000,Yes,63,63,63,60
51,Madhesh,Female,14,17.5,84.1,30300,No,84,77,79,73
52,Koshi,Female,16,7.8,94.7,29700,Yes,58,47,52,52
53,Lumbini,Male,16,2.3,63.6,50100,No,40,34,27,36
54,Gandaki,Male,15,18.4,88.2,53800,Yes,57,76,81,76
55,Lumbini,Male,14,22.2,97.5,32900,No,92,88,69,86
56,Lumbini,Female,15,10.4,76.0,23200,Yes,97,49,99,73
57,Bagmati,Female,17,4.3,82.0,37900,Yes,62,50,55,58
58,Bagmati,Male,15,10.8,79.0,22800,No,42,53,63,56
59,Koshi,Male,16,10.9,77.8,29700,Yes,39,43,46,41
60,Koshi,Female,15,11.2,82.4,48700,Yes,49,37,56,42
61,Gandaki,Male,15,7.5,96.4,22500,Yes,40,40,41,51
62,Bagmati,Female,15,14.3,99.7,44500,Yes,68,67,71,63
63,Bagmati,Male,17,14.1,82.3,41700,Yes,66,56,67,54
64,Lumbini,Male,15,6.0,100.0,18400,Yes,37,48,51,51
65,Gandaki,Female,15,14.8,85.3,48400,Yes,41,29,44,36
66,Bagmati,Male,16,20.2,99.0,42200,No,59,67,57,56
67,Bagmati,Male,15,12.7,84.3,31300,Yes,66,58,73,68
68,Madhesh,Male,17,10.7,86.0,20300,Yes,39,42,59,59
69,Koshi,Male,15,11.4,87.9,19300,Yes,63,57,68,57
70,Bagmati,Male,15,14.5,100.0,22700,Yes,34,54,67,45
71,Madhesh,Male,15,5.1,91.8,39000,Yes,69,51,63,72
72,Bagmati,Male,15,12.7,79.3,18400,No,44,42,50,59
73,Karnali,Male,15,10.4,92.8,37000,No,60,43,58,58
74,Madhesh,Female,15,19.4,82.1,16000,Yes,84,82,93,77
75,Koshi,Female,15,11.3,81.1,26800,Yes,77,58,75,66
76,Madhesh,Male,15,18.7,92.3,31400,Yes,63,58,68,66
77,Madhesh,Male,15,7.6,85.2,101000,Yes,44,51,47,58
78,Gandaki,Male,15,14.3,87.2,14900,Yes,53,49,65,52
79,Bagmati,Female,15,13.3,85.1,62100,Yes,73,63,61,66
80,Lumbini,Female,15,8.5,87.7,32000,Yes,56,48,64,59
81,Gandaki,Male,15,12.7,88.4,36500,Yes,53,57,76,43
82,Bagmati,Male,15,16.9,69.5,31500,Yes,70,72,78,80
83,Lumbini,Male,15,10.7,90.3,37100,Yes,45,48,64,51
84,Madhesh,Male,15,5.2,77.1,27500,Yes,70,63,68,71
85,Koshi,Female,14,11.9,73.5,61500,Yes,43,60,49,59
86,Koshi,Male,15,8.4,84.5,23700,No,74,68,69,77
87,Lumbini,Male,15,10.6,85.7,52400,Yes,60,47,57,65
88,Bagmati,Male,15,11.7,79.5,21500,Yes,80,65,59,51
89,Madhesh,Female,15,5.2,91.6,28900,Yes,37,34,59,42
90,Bagmati,Male,15,5.5,74.3,17400,No,37,45,44,41
91,Koshi,Female,16,13.9,81.7,37300,Yes,100,99,98,97
92,Lumbini,Male,15,9.9,80.3,61200,No,72,62,65,68
93,Bagmati,Female,16,1.7,84.6,28600,No,40,43,48,52
94,Bagmati,Male,15,15.1,87.2,26900,Yes,51,45,59,55
95,Madhesh,Female,16,13.1,76.9,17000,Yes,43,45,47,44
96,Gandaki,Female,15,9.1,90.8,26500,Yes,44,37,49,33
97,Bagmati,Female,15,6.7,85.5,13400,No,29,33,37,34
98,Koshi,Female,15,15.3,69.9,18800,Yes,56,60,59,61
99,Koshi,Female,15,13.4,69.3,33300,No,53,57,60,60
100,Sudurpashchim,Female,15,21.5,84.9,57500,Yes,70,61,61,74
101,Sudurpashchim,Female,16,13.7,83.2,121100,Yes,45,30,44,49
102,Lumbini,Male,16,13.6,84.2,22200,Yes,55,46,61,59
103,Madhesh,Female,16,11.3,84.8,60900,Yes,44,40,52,39
104,Sudurpashchim,Female,15,15.3,86.8,33600,Yes,87,82,84,74
105,Lumbini,Female,15,14.5,92.6,27600,Yes,51,58,53,62
106,Lumbini,Male,16,17.0,76.1,36900,No,52,64,48,56
107,Bagmati,Male,15,9.9,75.6,30700,No,65,53,66,57
108,Madhesh,Female,16,10.3,76.3,31400,Yes,46,59,63,66
109,Koshi,Male,15,10.1,87.3,24200,Yes,53,67,66,62
110,Sudurpashchim,Male,15,15.2,95.0,14800,Yes,60,58,61,72
111,Bagmati,Male,14,18.0,81.5,13700,No,74,63,70,69
112,Madhesh,Male,16,10.2,65.0,41200,Yes,52,40,67,61
113,Madhesh,Male,14,10.3,71.4,25900,No,48,42,52,48
114,Bagmati,Male,15,13.3,78.3,22100,Yes,60,54,67,70
115,Madhesh,Male,15,11.0,80.5,29900,Yes,44,40,43,58
116,Karnali,Male,15,15.8,81.7,44200,Yes,63,50,64,72
117,Lumbini,Male,15,3.0,85.3,32500,Yes,54,49,55,41
118,Lumbini,Female,16,8.7,82.5,21400,No,43,51,52,51
119,Bagmati,Male,14,8.9,93.4,54900,Yes,45,48,64,65
120,Gandaki,Female,16,2.7,79.6,65500,Yes,31,29,45,50
121,Gandaki,Female,16,8.1,78.1,38100,No,37,23,50,41
122,Gandaki,Male,15,8.3,88.8,48400,No,42,46,56,60
123,Koshi,Male,15,11.2,72.7,55300,No,46,36,52,51
124,Bagmati,Female,15,16.5,88.1,52300,Yes,63,53,76,84
125,Koshi,Female,15,11.0,85.8,40400,Yes,63,46,45,43
126,Bagmati,Female,15,7.9,83.8,40100,No,46,52,52,58
127,Madhesh,Female,17,11.8,97.7,38600,Yes,51,39,63,50
128,Koshi,Female,17,16.2,80.0,17200,Yes,47,48,60,54
129,Koshi,Female,16,8.1,100.0,42200,No,48,56,45,48
130,Gandaki,Male,15,8.4,83.2,15100,Yes,64,65,63,49
131,Madhesh,Female,16,14.2,74.8,20000,Yes,43,55,68,58
132,Sudurpashchim,Male,16,11.1,85.6,57100,No,57,56,57,59
133,Gandaki,Female,15,14.6,76.4,45300,Yes,76,51,63,62
134,Madhesh,Female,15,11.9,79.0,62500,Yes,34,35,50,51
135,Gandaki,Male,14,14.8,88.2,26000,Yes,62,58,58,62
136,Koshi,Female,15,7.9,89.4,16700,Yes,78,64,70,81
137,Sudurpashchim,Male,15,12.0,80.0,26400,Yes,55,56,62,60
138,Bagmati,Female,15,11.2,92.9,31300,No,55,50,65,66
139,Lumbini,Male,15,7.1,94.3,30900,No,43,59,66,62
140,Koshi,Female,16,5.7,96.5,52400,Yes,66,63,71,72
141,Bagmati,Male,17,14.7,89.2,24800,Yes,42,20,48,45
142,Bagmati,Female,15,10.6,95.9,35500,No,36,49,50,48
143,Sudurpashchim,Female,16,7.9,70.0,18100,Yes,50,25,52,53
144,Bagmati,Female,17,11.6,82.5,37200,Yes,45,42,54,50
145,Bagmati,Female,15,16.5,78.1,29800,Yes,68,76,76,76
146,Madhesh,Female,15,2.9,86.0,20400,Yes,48,38,49,59
147,Madhesh,Female,15,6.0,80.4,26400,Yes,22,20,40,31
148,Bagmati,Male,14,8.3,83.7,27100,Yes,48,30,48,45
149,Bagmati,Female,16,17.8,100.0,26000,Yes,33,47,47,52
150,Koshi,Male,15,13.1,83.6,72100,Yes,53,41,56,66
151,Lumbini,Female,15,15.1,88.3,28300,Yes,73,5,64,62
152,Karnali,Male,15,7.4,83.1,26300,Yes,55,44,51,35
153,Koshi,Female,15,7.5,85.6,10400,Yes,61,49,66,66
154,Bagmati,Female,16,13.8,85.0,19000,Yes,63,62,86,58
155,Koshi,Male,14,12.2,88.6,26100,Yes,53,46,57,67
156,Gandaki,Female,15,14.2,94.3,21100,Yes,43,45,49,45
157,Madhesh,Female,15,11.2,98.2,59300,Yes,67,68,77,74
158,Gandaki,Female,15,13.1,87.5,27400,Yes,63,49,68,60
159,Lumbini,Male,15,12.6,89.7,56600,No,62,57,81,55
160,Lumbini,Female,15,15.1,75.8,30700,Yes,65,58,68,70
161,Koshi,Female,14,15.2,84.3,30300,No,40,56,56,52
162,Sudurpashchim,Male,15,5.5,92.5,28400,No,66,57,69,68
163,Madhesh,Male,16,3.0,91.9,29800,Yes,46,48,42,42
164,Koshi,Male,15,16.0,86.7,70200,Yes,61,67,76,89
165,Bagmati,Female,15,16.8,92.1,9300,No,47,37,57,55
166,Bagmati,Male,16,7.9,88.9,10900,Yes,38,36,50,52
167,Lumbini,Female,16,4.6,94.6,22700,Yes,65,56,76,71
168,Lumbini,Female,14,12.4,87.3,29900,Yes,53,44,59,66
169,Madhesh,Male,15,15.7,82.2,42000,Yes,79,66,70,69
170,Sudurpashchim,Female,15,19.2,87.7,37700,Yes,72,57,89,58
171,Madhesh,Female,15,14.1,61.6,24500,No,15,33,58,18
172,Bagmati,Male,16,10.5,88.1,49500,No,74,63,69,76
173,Madhesh,Male,15,8.4,55.8,49800,Yes,38,28,43,39
174,Sudurpashchim,Male,16,12.0,71.2,32600,Yes,33,29,35,38
175,Madhesh,Male,16,10.8,88.6,48100,Yes,52,41,60,48
176,Koshi,Male,15,7.9,88.8,34100,No,55,49,60,69
177,Bagmati,Female,16,20.2,75.7,22500,Yes,73,78,72,73
178,Sudurpashchim,Male,15,19.1,79.3,42100,No,44,47,53,56
179,Karnali,Male,16,16.5,96.0,31400,No,54,57,67,64
180,Lumbini,Female,15,8.3,81.1,29800,Yes,42,31,45,48
181,Karnali,Female,15,15.4,100.0,62100,Yes,59,55,60,66
182,Karnali,Female,15,14.6,85.0,8700,No,54,45,52,41
183,Bagmati,Female,15,13.8,88.3,14600,Yes,58,43,61,42
184,Madhesh,Male,15,17.0,97.9,16400,Yes,71,62,65,62
185,Lumbini,Male,16,14.5,86.0,24800,No,83,55,66,71
186,Gandaki,Female,15,15.0,77.0,26200,Yes,58,60,73,74
187,Bagmati,Female,15,14.5,84.1,14000,Yes,58,50,57,69
188,Koshi,Female,15,13.4,84.7,18200,Yes,46,52,55,66
189,Lumbini,Male,15,4.9,74.1,19300,Yes,41,39,45,42
190,Madhesh,Female,14,12.3,83.0,101600,No,48,47,64,52
191,Sudurpashchim,Female,16,9.8,79.1,73200,Yes,37,39,52,49
192,Madhesh,Male,15,6.9,92.4,24200,Yes,37,36,52,62
193,Koshi,Female,15,18.7,85.3,24800,Yes,58,59,70,70
194,Lumbini,Female,15,18.9,82.7,16700,No,45,52,74,62
195,Koshi,Male,14,17.4,84.2,11500,Yes,69,60,57,63
196,Madhesh,Male,15,13.0,86.8,28000,No,59,59,65,62
197,Gandaki,Female,16,17.4,89.9,18100,Yes,69,52,50,56
198,Karnali,Male,15,12.0,77.0,28500,No,52,50,54,50
199,Madhesh,Male,17,12.8,76.7,13400,No,53,48,50,53
200,Madhesh,Male,15,7.6,93.8,20300,No,48,55,59,58
