size_aana,size_ropani,location,floors,house_age_years,price_npr
5.52,0.345,Koteshwor,1.0,12,18038000.0
3.28,0.205,Naxal,2.0,7,23765000.0
53.6,3.35,Kalimati,2.0,8,176861000.0
15.23,0.952,Chabahil,3.0,20,55884000.0
15.51,0.969,Jhamsikhel,3.0,2,87107000.0
17.61,1.101,New Baneshwor,1.0,4,68260000.0
15.58,0.974,New Baneshwor,2.0,8,61826000.0
18.12,1.133,Kalanki,0.0,16,48722000.0
3.64,0.228,Boudha,3.0,6,17427000.0
10.07,0.629,Kalimati,2.0,2,40056000.0
15.54,0.971,Jhamsikhel,2.5,22,80487000.0
50.72,3.17,Budhanilkantha,3.0,11,131896000.0
47.2,2.95,Baneshwor,2.0,9,188344000.0
8.67,0.542,Koteshwor,1.0,19,26998000.0
15.56,0.973,New Baneshwor,2.5,5,61341000.0
18.31,1.144,New Baneshwor,2.0,6,72934000.0
34.24,2.14,Boudha,2.5,25,107025000.0
12.5,0.781,New Baneshwor,2.0,29,45048000.0
17.63,1.102,Gongabu,2.0,5,50712000.0
19.87,1.242,Bhaktapur,1.0,4,43787000.0
11.42,0.714,Sanepa,1.0,8,62693000.0
23.68,1.48,New Baneshwor,3.0,15,92392000.0
26.72,1.67,Gongabu,1.0,25,64844000.0
8.49,0.531,Naxal,3.0,3,58627000.0
23.68,1.48,Baneshwor,2.5,20,90526000.0
60.64,3.79,Kirtipur,2.5,18,128418000.0
3.49,0.218,Budhanilkantha,3.0,29,14483000.0
8.78,0.549,Bhaktapur,2.0,25,18918000.0
12.24,0.765,Baneshwor,2.0,0,52850000.0
46.72,2.92,Bhaktapur,3.0,4,101715000.0
12.53,0.783,Baneshwor,3.0,20,50950000.0
6.53,0.408,Kirtipur,2.0,12,18164000.0
15.63,0.977,Kirtipur,2.0,1,39421000.0
16.96,1.06,Naxal,3.0,17,102888000.0
3.59,0.224,Baneshwor,2.0,26,17040000.0
18.26,1.141,Naxal,3.0,27,105893000.0
9.06,0.566,Naxal,0.0,26,49829000.0
9.14,0.571,Baluwatar,2.0,22,59928000.0
4.65,0.291,Baluwatar,2.5,23,32070000.0
13.4,0.838,Naxal,1.0,15,79996000.0
15.2,0.95,Budhanilkantha,1.0,10,38485000.0
17.74,1.109,Koteshwor,2.0,26,53116000.0
6.03,0.377,Naxal,1.0,20,35101000.0
11.62,0.726,Lazimpat,1.0,11,67116000.0
26.56,1.66,Naxal,0.0,26,145429000.0
4.83,0.302,Budhanilkantha,0.0,15,13137000.0
3.52,0.22,Kalimati,1.0,2,13037000.0
15.68,0.98,Baneshwor,2.0,13,62556000.0
16.32,1.02,Boudha,2.5,18,55427000.0
56.64,3.54,Budhanilkantha,2.0,5,150905000.0
49.28,3.08,Budhanilkantha,0.0,27,108576000.0
6.2,0.388,Kalimati,2.0,12,22492000.0
13.68,0.855,Jhamsikhel,0.0,17,70071000.0
12.16,0.76,Koteshwor,1.0,9,40610000.0
12.94,0.809,Baneshwor,2.0,26,49285000.0
20.64,1.29,Baluwatar,1.0,5,138895000.0
3.58,0.224,Jhamsikhel,1.0,29,14978000.0
18.14,1.134,Jhamsikhel,3.0,19,94168000.0
62.56,3.91,Jhamsikhel,1.0,29,285197000.0
10.58,0.661,Budhanilkantha,2.5,12,30866000.0
14.8,0.925,Baneshwor,2.0,19,57861000.0
3.57,0.223,Kalimati,1.0,29,11517000.0
12.69,0.793,Jhamsikhel,1.0,5,68434000.0
14.56,0.91,Lazimpat,2.0,14,85601000.0
3.92,0.245,New Baneshwor,2.5,4,19824000.0
18.68,1.167,Gongabu,0.0,21,47258000.0
52.48,3.28,Boudha,2.5,13,173128000.0
11.42,0.714,Sanepa,1.0,3,66273000.0
16.7,1.044,Kalimati,2.5,6,59858000.0
11.05,0.691,Baluwatar,2.0,24,69265000.0
11.78,0.736,Budhanilkantha,1.0,7,29072000.0
8.03,0.502,Sanepa,2.5,19,46772000.0
15.35,0.959,Boudha,2.5,26,49241000.0
4.58,0.286,Lazimpat,2.0,3,29925000.0
15.58,0.974,Kalimati,2.5,21,50746000.0
10.75,0.672,Boudha,2.5,3,40231000.0
41.44,2.59,Naxal,2.0,3,265555000.0
8.17,0.511,Chabahil,2.0,5,31016000.0
13.07,0.817,Budhanilkantha,2.0,25,36086000.0
12.67,0.792,Budhanilkantha,2.0,11,35233000.0
2.41,0.151,Jhamsikhel,2.5,9,16220000.0
18.82,1.176,Sanepa,3.0,21,98937000.0
63.2,3.95,Baluwatar,1.0,13,399801000.0
12.64,0.79,Baneshwor,2.0,20,51237000.0
16.45,1.028,Lazimpat,2.0,20,91362000.0
8.23,0.514,Kalimati,2.0,17,27739000.0
6.04,0.378,Chabahil,3.0,11,26546000.0
18.47,1.154,Jhamsikhel,2.5,16,94030000.0
2.24,0.14,Chabahil,2.0,20,10746000.0
3.54,0.221,Jhamsikhel,1.0,28,18432000.0
3.21,0.201,New Baneshwor,2.0,22,13931000.0
2.66,0.166,Kirtipur,2.5,29,10864000.0
51.36,3.21,Sanepa,2.0,14,269919000.0
4.79,0.299,Kirtipur,1.0,0,16076000.0
8.72,0.545,New Baneshwor,3.0,9,39698000.0
14.89,0.931,New Baneshwor,2.0,28,52709000.0
6.16,0.385,Kalanki,2.0,26,15774000.0
13.75,0.859,Lazimpat,2.5,14,82290000.0
15.0,0.938,Sanepa,2.5,23,77870000.0
2.23,0.139,New Baneshwor,2.5,6,11727000.0
18.24,1.14,Lazimpat,2.0,3,113136000.0
6.67,0.417,Lazimpat,2.0,1,44225000.0
13.23,0.827,New Baneshwor,2.5,5,56356000.0
15.74,0.984,Sanepa,1.0,23,78704000.0
18.1,1.131,Kirtipur,2.0,16,42948000.0
6.64,0.415,Naxal,2.0,21,41195000.0
11.46,0.716,Kirtipur,2.0,12,28988000.0
40.32,2.52,Bhaktapur,0.0,5,83874000.0
16.94,1.059,Lazimpat,1.0,22,90691000.0
12.75,0.797,Budhanilkantha,2.0,11,34501000.0
18.46,1.154,Lazimpat,2.0,25,98499000.0
15.28,0.955,Naxal,0.0,18,89794000.0
9.01,0.563,Sanepa,2.0,7,53077000.0
10.57,0.661,Koteshwor,3.0,14,37560000.0
5.87,0.367,Baneshwor,2.0,3,28035000.0
12.74,0.796,Baluwatar,2.0,1,89882000.0
12.16,0.76,Naxal,2.0,16,75534000.0
16.74,1.046,Kalanki,0.0,4,46623000.0
12.62,0.789,Sanepa,1.0,18,66762000.0
11.75,0.734,Baluwatar,2.5,23,74991000.0
13.86,0.866,Budhanilkantha,2.0,21,37448000.0
2.71,0.169,Kalanki,2.0,9,11849000.0
12.22,0.764,Baluwatar,1.0,25,73276000.0
19.48,1.218,Sanepa,2.5,22,100175000.0
17.2,1.075,Budhanilkantha,2.0,17,46303000.0
4.17,0.261,Koteshwor,3.0,1,20503000.0
15.05,0.941,Chabahil,2.0,11,55089000.0
13.27,0.829,Baneshwor,2.0,15,55743000.0
2.44,0.152,Gongabu,3.0,9,12835000.0
8.31,0.519,Chabahil,0.0,29,24834000.0
13.3,0.831,Kirtipur,1.0,23,26972000.0
15.28,0.955,Budhanilkantha,0.0,29,33332000.0
7.17,0.448,Boudha,2.5,3,27206000.0
9.7,0.606,Lazimpat,2.0,16,57678000.0
19.1,1.194,Jhamsikhel,1.0,28,89085000.0
10.41,0.651,Budhanilkantha,3.0,12,31157000.0
6.17,0.386,New Baneshwor,2.5,19,26846000.0
5.18,0.324,Kirtipur,0.0,25,9434000.0
8.3,0.519,Kalimati,2.0,4,31421000.0
5.13,0.321,Jhamsikhel,2.0,9,28356000.0
4.77,0.298,Naxal,1.0,2,32488000.0
17.48,1.093,Kalanki,3.0,10,48537000.0
10.58,0.661,Sanepa,3.0,2,65325000.0
15.23,0.952,Koteshwor,2.0,1,53474000.0
47.04,2.94,Budhanilkantha,2.0,15,116844000.0
57.44,3.59,Baluwatar,2.0,29,328395000.0
13.92,0.87,Kalimati,2.0,7,49908000.0
6.42,0.401,Sanepa,3.0,26,35854000.0
6.3,0.394,Kalanki,2.0,20,20427000.0
19.3,1.206,New Baneshwor,0.0,24,66069000.0
53.92,3.37,New Baneshwor,2.5,20,192463000.0
6.66,0.416,Kirtipur,1.0,1,16422000.0
12.08,0.755,Kirtipur,1.0,7,28960000.0
23.84,1.49,Sanepa,2.0,6,137192000.0
9.06,0.566,Bhaktapur,3.0,14,22524000.0
15.88,0.993,Chabahil,2.0,16,56202000.0
12.16,0.76,Baluwatar,3.0,17,79420000.0
3.18,0.199,Boudha,1.0,0,13370000.0
6.55,0.409,Budhanilkantha,2.0,22,16986000.0
16.87,1.054,New Baneshwor,1.0,10,61831000.0
6.14,0.384,Naxal,1.0,10,39865000.0
19.36,1.21,Bhaktapur,1.0,18,38430000.0
7.77,0.486,Sanepa,1.0,5,43258000.0
11.78,0.736,Budhanilkantha,1.0,27,29791000.0
16.64,1.04,Baluwatar,2.5,26,101333000.0
18.41,1.151,Bhaktapur,2.0,25,38495000.0
2.02,0.126,Kirtipur,1.0,6,5428000.0
4.89,0.306,Baneshwor,2.0,21,23626000.0
9.8,0.613,Lazimpat,1.0,12,59449000.0
12.8,0.8,Naxal,2.0,10,80865000.0
18.34,1.146,Baluwatar,2.0,10,121203000.0
2.33,0.146,Kalanki,2.0,21,8688000.0
15.96,0.998,Jhamsikhel,1.0,17,79174000.0
54.24,3.39,Boudha,2.0,25,164825000.0
5.62,0.351,Naxal,2.5,25,34767000.0
4.24,0.265,Baluwatar,0.0,26,23943000.0
13.03,0.814,Baneshwor,2.5,8,56823000.0
13.02,0.814,Kirtipur,2.0,6,33035000.0
16.71,1.044,Bhaktapur,2.0,25,35848000.0
4.87,0.304,Gongabu,2.0,12,16100000.0
8.06,0.504,Sanepa,3.0,7,48737000.0
14.95,0.934,Gongabu,1.0,21,39437000.0
13.71,0.857,Koteshwor,2.0,9,45490000.0
10.33,0.646,Budhanilkantha,3.0,29,26402000.0
9.66,0.604,Kalimati,2.5,3,36977000.0
12.42,0.776,Naxal,0.0,3,80685000.0
17.72,1.107,Naxal,2.5,1,117219000.0
13.37,0.836,Sanepa,1.0,14,69972000.0
18.36,1.147,Kalimati,2.0,22,58380000.0
10.86,0.679,Lazimpat,0.0,29,51750000.0
11.27,0.704,Boudha,2.0,24,37648000.0
6.65,0.416,Kalanki,0.0,4,16901000.0
4.36,0.273,Baluwatar,1.0,12,29995000.0
11.36,0.71,Baneshwor,2.0,9,48161000.0
6.48,0.405,Kalanki,3.0,10,21175000.0
49.28,3.08,Gongabu,2.0,4,140939000.0
16.5,1.031,Baluwatar,3.0,27,101877000.0
3.03,0.189,Jhamsikhel,3.0,4,24352000.0
6.04,0.378,Boudha,3.0,4,26103000.0
9.15,0.572,Kirtipur,3.0,17,21736000.0
26.08,1.63,Chabahil,3.0,28,85754000.0
11.58,0.724,Naxal,0.0,22,61457000.0
60.64,3.79,Boudha,2.0,27,180505000.0
6.6,0.412,Lazimpat,2.5,0,46925000.0
2.32,0.145,Kalimati,2.0,17,10966000.0
52.48,3.28,Gongabu,2.0,3,153695000.0
16.88,1.055,Sanepa,2.0,15,91520000.0
7.73,0.483,Naxal,2.0,0,52631000.0
3.63,0.227,Bhaktapur,1.0,8,10622000.0
16.54,1.034,Jhamsikhel,3.0,17,87508000.0
16.72,1.045,New Baneshwor,1.0,23,57150000.0
9.13,0.571,Baluwatar,2.0,20,59953000.0
6.28,0.393,Boudha,2.0,16,23497000.0
13.15,0.822,Koteshwor,2.0,13,42943000.0
11.34,0.709,Lazimpat,3.0,5,72386000.0
12.94,0.809,Budhanilkantha,2.0,15,33505000.0
19.2,1.2,Kirtipur,2.5,12,46224000.0
6.38,0.399,Lazimpat,2.0,10,39871000.0
8.33,0.521,Jhamsikhel,1.0,1,47662000.0
16.45,1.028,Kirtipur,2.0,2,43472000.0
14.89,0.931,Kalimati,3.0,16,51545000.0
5.27,0.329,New Baneshwor,1.0,12,22705000.0
39.84,2.49,Budhanilkantha,3.0,9,104665000.0
2.78,0.174,Baneshwor,1.0,9,12612000.0
16.75,1.047,Boudha,2.0,21,55475000.0
17.12,1.07,Koteshwor,2.5,7,59491000.0
16.05,1.003,Baluwatar,2.5,17,103607000.0
42.88,2.68,Kalanki,2.0,0,121990000.0
15.26,0.954,Lazimpat,2.0,1,94250000.0
12.93,0.808,Lazimpat,1.0,10,75871000.0
3.05,0.191,Kirtipur,3.0,24,11850000.0
10.02,0.626,Sanepa,2.0,8,57046000.0
16.74,1.046,New Baneshwor,2.5,3,67518000.0
13.62,0.851,Kirtipur,1.0,3,32971000.0
8.18,0.511,Koteshwor,0.0,6,24859000.0
43.84,2.74,Lazimpat,3.0,7,260792000.0
6.15,0.384,Naxal,1.0,25,36404000.0
8.0,0.5,Naxal,2.0,21,51104000.0
13.43,0.839,Jhamsikhel,1.0,14,68018000.0
2.02,0.126,Kalanki,2.0,15,8727000.0
8.89,0.556,Jhamsikhel,2.0,22,45912000.0
3.67,0.229,Kalanki,0.0,21,9712000.0
12.95,0.809,New Baneshwor,2.5,11,51016000.0
8.23,0.514,Naxal,2.0,24,48042000.0
7.03,0.439,Chabahil,2.0,25,26402000.0
12.2,0.762,Chabahil,1.0,19,41269000.0
11.72,0.733,Budhanilkantha,2.0,12,33213000.0
7.81,0.488,Jhamsikhel,1.0,2,44743000.0
19.23,1.202,Naxal,2.0,17,114885000.0
12.91,0.807,Baneshwor,2.0,0,57801000.0
7.72,0.482,Baneshwor,2.0,2,35036000.0
11.11,0.694,Koteshwor,3.0,14,37467000.0
4.2,0.263,Gongabu,1.0,27,8499000.0
2.01,0.126,Gongabu,2.0,10,9409000.0
8.96,0.56,Gongabu,2.5,4,28929000.0
13.15,0.822,Chabahil,3.0,14,49266000.0
3.34,0.209,Sanepa,1.0,27,18117000.0
13.4,0.838,Gongabu,2.5,7,40820000.0
5.13,0.321,New Baneshwor,2.0,3,22256000.0
13.77,0.861,Jhamsikhel,2.0,2,77794000.0
5.18,0.324,Gongabu,2.5,28,16911000.0
16.23,1.014,Chabahil,2.5,20,56393000.0
13.14,0.821,Kalimati,0.0,12,40510000.0
10.99,0.687,Gongabu,1.0,22,29312000.0
7.84,0.49,Kirtipur,2.0,27,19111000.0
16.13,1.008,Boudha,1.0,12,55577000.0
7.68,0.48,Bhaktapur,2.5,0,20606000.0
58.56,3.66,Naxal,2.5,20,336946000.0
18.11,1.132,New Baneshwor,1.0,7,70216000.0
15.27,0.954,Boudha,2.0,0,58155000.0
12.8,0.8,Koteshwor,2.0,10,42773000.0
15.28,0.955,Baluwatar,2.0,25,92551000.0
15.94,0.996,Jhamsikhel,2.5,6,87292000.0
15.76,0.985,Lazimpat,0.0,9,88512000.0
18.18,1.136,Bhaktapur,2.5,7,39856000.0
22.24,1.39,Naxal,2.5,3,147386000.0
10.61,0.663,Kalanki,1.0,17,27780000.0
12.48,0.78,Naxal,2.5,15,76585000.0
2.79,0.174,Gongabu,3.0,16,11970000.0
9.0,0.562,Chabahil,3.0,17,33346000.0
14.17,0.886,Kirtipur,3.0,18,32610000.0
17.83,1.114,Bhaktapur,3.0,11,41934000.0
5.98,0.374,Naxal,2.5,29,37475000.0
25.92,1.62,Gongabu,3.0,21,71706000.0
15.1,0.944,Baneshwor,1.0,1,65515000.0
4.71,0.294,Budhanilkantha,2.5,11,16895000.0
15.38,0.961,Chabahil,1.0,2,59407000.0
17.79,1.112,New Baneshwor,1.0,4,71167000.0
16.61,1.038,Kalimati,2.5,11,59103000.0
15.36,0.96,Chabahil,2.0,13,54755000.0
8.75,0.547,Chabahil,2.0,8,32248000.0
10.47,0.654,Sanepa,3.0,18,57306000.0
13.58,0.849,Jhamsikhel,3.0,9,73658000.0
17.92,1.12,Lazimpat,2.0,9,108419000.0
8.98,0.561,Jhamsikhel,2.0,16,50678000.0
20.64,1.29,Koteshwor,2.0,19,63007000.0
12.79,0.799,Kirtipur,1.0,18,27803000.0
46.88,2.93,Kirtipur,2.5,11,105907000.0
16.85,1.053,Baneshwor,2.0,18,65908000.0
8.69,0.543,New Baneshwor,2.0,16,33583000.0
15.21,0.951,Chabahil,2.0,21,54329000.0
14.35,0.897,Bhaktapur,2.5,14,31180000.0
19.11,1.194,Chabahil,1.0,4,68147000.0
12.54,0.784,Boudha,1.0,21,38707000.0
16.09,1.006,Baluwatar,1.0,18,101209000.0
10.66,0.666,Boudha,2.0,20,36161000.0
13.36,0.835,Lazimpat,2.5,29,68149000.0
11.2,0.7,Kalanki,2.0,13,31660000.0
18.61,1.163,Gongabu,3.0,24,50235000.0
16.17,1.011,Sanepa,1.0,9,87921000.0
17.21,1.076,Baneshwor,0.0,5,69148000.0
12.12,0.757,Jhamsikhel,2.0,20,61945000.0
3.56,0.223,Baluwatar,0.0,14,22601000.0
9.08,0.568,Budhanilkantha,2.0,25,24235000.0
10.9,0.681,Bhaktapur,1.0,20,20879000.0
7.56,0.472,Koteshwor,2.0,20,26022000.0
2.4,0.15,Kalanki,1.0,20,8338000.0
19.65,1.228,New Baneshwor,3.0,28,69471000.0
16.25,1.016,Kalimati,2.0,16,53741000.0
4.54,0.284,Baluwatar,2.5,21,30646000.0
56.32,3.52,Naxal,2.0,18,327281000.0
28.0,1.75,Koteshwor,0.0,2,90494000.0
8.12,0.507,Budhanilkantha,1.0,20,22202000.0
15.04,0.94,Baneshwor,3.0,14,62064000.0
19.04,1.19,Gongabu,3.0,7,58005000.0
9.03,0.564,Koteshwor,1.0,2,30073000.0
9.15,0.572,Jhamsikhel,2.5,10,49368000.0
6.98,0.436,Gongabu,2.5,7,24052000.0
18.15,1.134,Budhanilkantha,1.0,17,46334000.0
8.54,0.534,New Baneshwor,1.0,26,31073000.0
12.77,0.798,Koteshwor,1.0,22,38381000.0
16.37,1.023,Chabahil,0.0,13,55973000.0
49.44,3.09,Bhaktapur,3.0,22,97039000.0
7.81,0.488,Lazimpat,3.0,27,45138000.0
4.34,0.271,Budhanilkantha,2.0,4,17019000.0
8.82,0.551,Naxal,1.0,2,58362000.0
18.53,1.158,Boudha,2.5,5,66973000.0
7.65,0.478,Budhanilkantha,2.0,23,18795000.0
11.46,0.716,Sanepa,2.5,15,63265000.0
5.44,0.34,Kalanki,2.0,10,17098000.0
15.29,0.956,Bhaktapur,2.0,11,34035000.0
3.91,0.244,Jhamsikhel,2.0,2,24901000.0
5.01,0.313,Gongabu,1.0,19,14008000.0
17.59,1.099,Budhanilkantha,1.0,14,45592000.0
50.72,3.17,Budhanilkantha,2.0,20,123194000.0
13.71,0.857,Boudha,2.0,5,50893000.0
9.02,0.564,New Baneshwor,2.0,13,36636000.0
16.44,1.028,Sanepa,2.0,26,84010000.0
2.49,0.156,Kalanki,1.0,5,7886000.0
14.59,0.912,Sanepa,0.0,27,70591000.0
12.07,0.754,New Baneshwor,2.5,27,45264000.0
4.16,0.26,Kirtipur,0.0,3,8850000.0
39.84,2.49,Kirtipur,1.0,19,80352000.0
12.78,0.799,Chabahil,3.0,26,45684000.0
7.95,0.497,Koteshwor,3.0,21,28988000.0
6.82,0.426,Kirtipur,3.0,13,18958000.0
6.54,0.409,Budhanilkantha,2.0,4,20897000.0
61.6,3.85,Baluwatar,2.0,7,408018000.0
59.04,3.69,Budhanilkantha,2.5,13,150360000.0
19.07,1.192,Boudha,2.0,5,68545000.0
14.18,0.886,Boudha,1.0,27,43035000.0
6.89,0.431,Baneshwor,2.5,26,25924000.0
9.33,0.583,Baluwatar,1.0,21,57049000.0
6.3,0.394,Kalimati,3.0,9,23133000.0
13.21,0.826,Boudha,2.0,13,45107000.0
17.37,1.086,Boudha,1.0,16,55893000.0
7.13,0.446,Chabahil,2.5,6,30150000.0
23.52,1.47,Chabahil,0.0,23,77237000.0
11.57,0.723,Kalanki,2.0,26,30295000.0
33.28,2.08,Chabahil,1.0,13,115027000.0
9.4,0.588,Koteshwor,2.0,7,34039000.0
19.19,1.199,Baluwatar,2.5,25,114672000.0
2.92,0.182,Kalanki,2.5,12,12896000.0
8.64,0.54,Baluwatar,2.0,18,54869000.0
3.28,0.205,Koteshwor,1.0,25,10280000.0
8.51,0.532,Boudha,2.0,10,33373000.0
18.44,1.153,Kirtipur,1.0,24,38331000.0
3.2,0.2,Lazimpat,3.0,15,21815000.0
31.68,1.98,Naxal,2.0,2,205574000.0
39.36,2.46,Lazimpat,2.5,24,208426000.0
29.76,1.86,Kalanki,2.0,10,78706000.0
12.63,0.789,Lazimpat,2.5,11,77325000.0
12.43,0.777,Sanepa,2.0,8,72002000.0
2.49,0.156,Kalimati,2.0,27,8638000.0
4.98,0.311,New Baneshwor,1.0,6,20403000.0
11.31,0.707,Jhamsikhel,2.0,17,60111000.0
16.25,1.016,Chabahil,1.0,10,58681000.0
12.44,0.777,Naxal,2.0,5,83490000.0
19.5,1.219,Jhamsikhel,0.0,29,88793000.0
19.68,1.23,Jhamsikhel,2.0,10,104835000.0
7.64,0.477,Kalimati,2.0,28,26012000.0
8.75,0.547,Boudha,3.0,2,35268000.0
11.82,0.739,Jhamsikhel,1.0,28,55484000.0
15.92,0.995,Boudha,1.0,4,56658000.0
5.03,0.314,Baluwatar,2.5,20,32615000.0
5.19,0.324,Bhaktapur,1.0,20,10868000.0
16.95,1.059,Gongabu,1.0,3,48583000.0
16.7,1.044,Sanepa,2.0,3,97364000.0
7.41,0.463,Baluwatar,2.0,21,46423000.0
55.68,3.48,Lazimpat,2.0,4,334606000.0
41.28,2.58,Sanepa,2.5,1,239687000.0
11.89,0.743,Lazimpat,2.5,4,75174000.0
2.62,0.164,Jhamsikhel,1.0,5,16159000.0
10.85,0.678,Gongabu,2.0,22,30763000.0
12.13,0.758,Baneshwor,2.0,22,45048000.0
18.1,1.131,Naxal,2.0,26,106051000.0
12.65,0.791,Sanepa,3.0,6,74672000.0
43.84,2.74,Jhamsikhel,3.0,0,245111000.0
6.61,0.413,Sanepa,2.0,4,41160000.0
18.73,1.171,Bhaktapur,2.5,21,39569000.0
13.39,0.837,Baneshwor,2.0,20,52102000.0
16.28,1.018,Koteshwor,3.0,2,58999000.0
3.62,0.226,Koteshwor,0.0,29,10642000.0
8.32,0.52,Baluwatar,2.5,7,59638000.0
17.92,1.12,Bhaktapur,2.0,2,41244000.0
14.37,0.898,Kirtipur,1.0,5,32522000.0
53.28,3.33,Koteshwor,2.0,12,165651000.0
16.3,1.019,Baluwatar,2.0,15,106009000.0
30.56,1.91,Naxal,1.0,14,182300000.0
9.29,0.581,New Baneshwor,0.0,26,32220000.0
6.07,0.379,New Baneshwor,1.0,8,26415000.0
11.06,0.691,Budhanilkantha,2.0,29,27326000.0
3.29,0.206,Jhamsikhel,1.0,17,18979000.0
12.14,0.759,Koteshwor,1.0,3,41431000.0
9.23,0.577,New Baneshwor,3.0,13,39699000.0
7.72,0.482,Kalanki,2.0,16,23669000.0
12.68,0.792,Kalimati,0.0,16,40193000.0
16.88,1.055,Boudha,1.0,10,56231000.0
12.29,0.768,Chabahil,3.0,17,46682000.0
14.15,0.884,Bhaktapur,2.0,16,30656000.0
18.74,1.171,Kalimati,2.5,24,60520000.0
4.33,0.271,Baluwatar,2.5,3,35067000.0
10.56,0.66,Kirtipur,2.0,18,24909000.0
17.58,1.099,Bhaktapur,2.0,2,40021000.0
15.87,0.992,Naxal,0.0,8,97055000.0
14.95,0.934,Boudha,2.0,8,55099000.0
13.66,0.854,Chabahil,2.0,3,50670000.0
4.26,0.266,Koteshwor,1.0,2,16536000.0
46.24,2.89,Gongabu,1.0,21,118121000.0
16.82,1.051,Sanepa,2.0,21,88118000.0
46.56,2.91,Gongabu,2.0,12,128109000.0
7.94,0.496,Kalanki,2.0,11,22697000.0
17.8,1.113,Koteshwor,2.0,25,51628000.0
5.96,0.372,Gongabu,3.0,27,21161000.0
3.37,0.211,Chabahil,2.5,14,15336000.0
8.15,0.509,Bhaktapur,2.0,22,17966000.0
12.27,0.767,Jhamsikhel,1.0,15,63096000.0
11.85,0.741,Budhanilkantha,2.5,7,34758000.0
5.73,0.358,Kalanki,1.0,26,14908000.0
